"","vars"
"1","EV FOL"
"2","BkS/60"
"3","EV TOI/GP"
"4","EVG"
"5","TkA/60"
"6","TkA"
"7","SH TOI%"
"8","Minor"
"9","Pen Drawn/60"
"10","SHA1/60"
"11","Msct"
"12","NZ FOL"
"13","G"
"14","+/-"
"15","SHA1"
"16","PPA1/60"
"17","1g"
"18","Match"
"19","PPP/60"
"20","SHP/60"
"21","SH iSAT/60"
"22","SHG/60"
"23","SHA2/60"
"24","SH TOI/GP"
"25","ENA"
"26","MsS Cross"
"27","OTG"
"28","SH S/60"
"29","MsS Post"
"30","A"
"31","FOW"
"32","On-Ice SH GA"
"33","GWG"
"34","GvA/60"
"35","P/GP"
"36","PPA1"
"37","SH Shots"
"38","PP iSAT"
"39","PIM"
"40","EV FOW"
"41","PPG/60"
"42","On-Ice PP GF"
"43","PP TOI"
"44","EVP"
"45","ENG"
"46","PP TOI/GP"
"47","SH iSAT"
"48","PIM/TOI%"
"49","PP Shots"
"50","S"
"51","GvA"
"52","On-Ice EV GF%"
"53","TOI/GP"
"54","PP TOI%"
"55","PPA2/60"
"56","MsS Over"
"57","PPG"
"58","PIM/GP"
"59","Pen Drawn"
"60","PP GA/60"
"61","PP GF/60"
"62","PPP"
"63","On-Ice PP GA"
"64","Hits/60"
"65","DZ FOL"
"66","PP S/60"
"67","On-Ice SH GF"
"68","PP iSAT/60"
"69","Major"
"70","Pen Taken"
"71","NZ FOW"
"72","MsS"
"73","MsS Wide"
"74","Pen Taken/60"
"75","GP"
"76","SH TOI"
"77","OZ FOW"
"78","DZ FOW"
"79","BkS"
"80","Hits"
"81","Ht"
"82","FOL"
"83","OZ FOL"
